Model,Feature,Importance
random_forest,Hangi seviyedesin?,0.45565873822515035
random_forest,Toplam kaç yıllık iş deneyimin var?,0.1574290059038941
random_forest,Şirket lokasyon,0.0641775602187807
random_forest,Hangi programlama dillerini kullanıyorsun,0.06212920109490585
random_forest,Ne yapıyorsun?,0.046429985310953784
random_forest,Hangi tool'ları kullanıyorsun,0.02711015250052848
random_forest,Çalışma şekli,0.023147588502945626
random_forest,Frontend yazıyorsan hangilerini kullanıyorsun,0.013524235883766939
random_forest,Çalışma türü,0.012097315603443317
random_forest,Hangi_Go,0.011234299160589713
xgboost,Hangi seviyedesin?,0.2662661671638489
xgboost,Şirket lokasyon,0.04232414811849594
xgboost,Toplam kaç yıllık iş deneyimin var?,0.0375574491918087
xgboost,Hangi_HTML_CSS,0.03209935873746872
xgboost,Hangi_Swift,0.02771945670247078
xgboost,Hangi_Go,0.027502428740262985
xgboost,Hangi_PHP,0.024565663188695908
xgboost,Frontend_Vue,0.023529483005404472
xgboost,Hangi_Kullanmıyorum,0.022391734644770622
xgboost,Hangi_Zustand,0.02064950205385685
